FWR=0.0P=0.6
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
~di_na,254.389+-522.379,75.644+-173.134,595.840+-316.059,0.000+-0.000,23/100,19/100,58/100
"
"
FWR=0.2P=0.8
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,886.651+-539.496,300.182+-214.621,416.850+-245.090,91.044+-63.177,78/100,12/100,10/100
laggy,618.400+-651.714,192.937+-241.450,366.110+-241.219,93.882+-66.187,58/100,36/100,6/100
noisy,78.923+-379.660,3.671+-124.896,201.420+-190.984,79.899+-87.993,10/100,85/100,5/100
random,-80.000+-154.603,-67.989+-73.578,156.780+-138.089,63.691+-63.586,1/100,98/100,1/100
zero,-54.036+-306.168,-78.128+-133.390,206.600+-183.528,83.360+-90.040,5/100,84/100,11/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,905.019+-532.841,328.796+-227.235,381.030+-227.644,0.000+-0.000,80/100,13/100,7/100
laggy,485.206+-669.501,161.901+-267.563,319.680+-196.227,0.000+-0.000,48/100,48/100,4/100
noisy,-94.397+-99.421,-78.168+-79.074,150.530+-134.167,0.000+-0.000,0/100,98/100,2/100
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
~di_na,256.074+-532.318,70.707+-168.048,605.080+-306.028,0.000+-0.000,24/100,22/100,54/100
"
"
FWR=0.4P=0.7
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,936.009+-516.207,297.512+-199.019,461.290+-261.851,276.583+-259.962,82/100,6/100,12/100
laggy,863.072+-547.494,261.942+-197.073,472.130+-260.779,292.129+-258.793,75/100,9/100,16/100
noisy,568.415+-576.843,178.284+-217.001,538.790+-335.357,448.782+-291.550,48/100,12/100,40/100
random,311.313+-523.887,83.412+-168.297,536.300+-323.190,472.061+-299.621,27/100,23/100,50/100
zero,306.878+-515.886,89.229+-174.832,571.740+-330.074,376.675+-232.048,26/100,15/100,59/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,905.156+-532.549,328.947+-227.082,380.320+-226.197,0.000+-0.000,80/100,13/100,7/100
laggy,848.286+-557.817,306.902+-245.728,345.480+-219.646,0.000+-0.000,75/100,20/100,5/100
noisy,-59.257+-83.650,-49.287+-66.302,143.480+-99.225,0.000+-0.000,0/100,99/100,1/100
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
~di_na,254.389+-522.379,75.644+-173.134,595.840+-316.059,0.000+-0.000,23/100,19/100,58/100
"
"
FWR=0.6P=0.4
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,345.903+-547.793,107.178+-188.050,574.150+-333.019,628.595+-451.395,30/100,18/100,52/100
laggy,418.699+-551.485,127.293+-190.237,570.460+-317.151,595.183+-420.487,35/100,14/100,51/100
noisy,396.741+-542.792,117.068+-181.228,568.960+-312.386,590.230+-370.253,33/100,13/100,54/100
random,331.225+-531.244,86.089+-152.620,651.300+-330.312,650.245+-336.488,28/100,13/100,59/100
zero,260.014+-482.996,61.423+-138.439,622.130+-328.968,430.955+-248.220,22/100,20/100,58/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,905.156+-532.549,328.947+-227.082,380.320+-226.197,0.000+-0.000,80/100,13/100,7/100
laggy,878.958+-553.650,325.350+-232.512,387.960+-239.388,0.000+-0.000,78/100,14/100,8/100
noisy,82.047+-248.301,6.718+-51.776,580.530+-426.850,0.000+-0.000,4/100,48/100,48/100
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
~di_na,254.389+-522.379,75.644+-173.134,595.840+-316.059,0.000+-0.000,23/100,19/100,58/100
"
"
FWR=0.8P=0.2
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,362.889+-537.586,112.294+-176.398,562.460+-316.269,624.112+-432.786,30/100,11/100,59/100
laggy,330.647+-563.788,96.448+-175.984,571.680+-305.723,646.005+-427.424,30/100,21/100,49/100
noisy,323.334+-551.078,102.608+-196.773,514.730+-316.267,559.005+-405.426,29/100,25/100,46/100
random,342.899+-541.829,89.317+-170.852,585.540+-311.238,584.870+-311.892,30/100,18/100,52/100
zero,302.819+-522.411,87.248+-164.776,564.860+-315.777,392.693+-226.072,26/100,18/100,56/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,905.156+-532.549,328.947+-227.082,380.320+-226.197,0.000+-0.000,80/100,13/100,7/100
laggy,952.942+-493.462,354.065+-221.212,361.270+-210.913,0.000+-0.000,84/100,11/100,5/100
noisy,581.344+-598.671,137.469+-174.544,572.340+-329.693,0.000+-0.000,50/100,22/100,28/100
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
~di_na,254.389+-522.379,75.644+-173.134,595.840+-316.059,0.000+-0.000,23/100,19/100,58/100
"
"
FWR=1.0P=0.8
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,336.885+-555.065,100.923+-187.712,558.910+-303.655,657.400+-456.930,30/100,19/100,51/100
laggy,353.058+-534.776,107.157+-184.672,586.630+-319.897,679.267+-450.948,30/100,14/100,56/100
noisy,345.818+-539.558,110.702+-181.402,583.280+-311.624,606.134+-327.713,29/100,13/100,58/100
random,373.816+-548.142,111.266+-184.777,555.580+-311.656,548.283+-303.449,32/100,18/100,50/100
zero,283.914+-528.540,74.190+-165.215,566.780+-325.539,422.518+-256.296,26/100,25/100,49/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,904.441+-533.726,327.658+-227.419,381.740+-226.221,0.000+-0.000,80/100,13/100,7/100
laggy,541.709+-673.744,177.849+-271.654,307.990+-184.044,0.000+-0.000,53/100,45/100,2/100
noisy,-94.525+-99.189,-78.181+-79.060,150.530+-134.167,0.000+-0.000,0/100,98/100,2/100
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
~di_na,254.389+-522.379,75.644+-173.134,595.840+-316.059,0.000+-0.000,23/100,19/100,58/100
"
"
FWR=0.7P=0.8
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,394.404+-562.055,124.432+-202.002,591.510+-322.174,678.851+-458.564,34/100,15/100,51/100
laggy,354.456+-550.125,105.600+-187.834,587.510+-312.820,676.304+-446.208,31/100,15/100,54/100
noisy,322.169+-521.208,104.560+-191.239,577.000+-329.149,599.523+-349.278,27/100,15/100,58/100
random,306.655+-520.615,88.860+-168.706,570.580+-311.495,573.759+-306.847,26/100,16/100,58/100
zero,347.537+-550.947,100.324+-180.189,615.530+-316.864,434.226+-235.938,30/100,13/100,57/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,905.019+-532.841,328.796+-227.235,381.030+-227.644,0.000+-0.000,80/100,13/100,7/100
laggy,485.206+-669.501,161.901+-267.563,319.680+-196.227,0.000+-0.000,48/100,48/100,4/100
noisy,-94.397+-99.421,-78.168+-79.074,150.530+-134.167,0.000+-0.000,0/100,98/100,2/100
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
